"iata","name","city","country","latitude","longitude","source_type","scheduled_service","reviewed_demand_index","reviewed_airport_tax","review_note"
"NMI","Navi Mumbai International Airport","Navi Mumbai","India","18.984597","73.065253","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"DSY","Dara Sakor International Airport","Ta Noun","Cambodia","10.914244","103.226652","large_airport","yes","53","750.00","REVIEWED_COUNTRY_BLEND"
"KTI","Techo International Airport","Phnom Penh (Boeng Khyang)","Cambodia","11.359987","104.921272","large_airport","yes","53","750.00","REVIEWED_COUNTRY_BLEND"
"PHH","Pokhara International Airport","Pokhara","Nepal","28.1838","84.0147","large_airport","yes","52","700.00","REVIEWED_COUNTRY_FALLBACK"
"ZQN","Queenstown Airport","Queenstown","New Zealand","-45.019205","168.746379","large_airport","yes","63","850.00","REVIEWED_COUNTRY_BLEND"
"AHB","Abha International Airport","Abha","Saudi Arabia","18.2404","42.656601","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"HOF","Al-Ahsa International Airport","Hofuf","Saudi Arabia","25.285299","49.485199","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"ULH","Al-Ula International Airport","Al-Ula","Saudi Arabia","26.483634","38.117048","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"DMM","King Fahd International Airport","Ad Dammam","Saudi Arabia","26.4691","49.798209","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"ELQ","Prince Naif bin Abdulaziz International Airport","Qassim","Saudi Arabia","26.302799","43.774399","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"HAS","Hail International Airport","Hail","Saudi Arabia","27.437901","41.686298","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"MED","Prince Mohammad Bin Abdulaziz Airport","Medina","Saudi Arabia","24.5534","39.705101","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"NUM","Neom Bay Airport","Sharma","Saudi Arabia","27.924261","35.29358","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"AQI","Qaisumah–Hafar Al-Batin International Airport","Qaisumah","Saudi Arabia","28.335726","46.127108","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"AJF","Al-Jawf International Airport","Al-Jawf","Saudi Arabia","29.783301","40.100905","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"TUU","Prince Sultan bin Abdulaziz International Airport","Tabuk","Saudi Arabia","28.3711","36.624865","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"TIF","Taif International Airport","Taif","Saudi Arabia","21.484739","40.544074","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"YNB","Prince Abdulmohsen Bin Abdulaziz International Airport","Yanbu","Saudi Arabia","24.144199","38.0634","large_airport","yes","81","1050.00","REVIEWED_COUNTRY_BLEND"
"DQM","Duqm International Airport","Duqm","Oman","19.501944","57.634167","large_airport","yes","54","750.00","REVIEWED_COUNTRY_BLEND"
"AAN","Al Ain International Airport","Al Ain","United Arab Emirates","24.2617","55.6092","large_airport","yes","88","1200.00","REVIEWED_COUNTRY_FALLBACK"
"DWC","Al Maktoum International Airport","Dubai(Jebel Ali)","United Arab Emirates","24.896171","55.16235","large_airport","yes","88","1200.00","REVIEWED_COUNTRY_FALLBACK"
"FJR","Fujairah International Airport","Fujairah","United Arab Emirates","25.108411","56.328061","large_airport","yes","88","1200.00","REVIEWED_COUNTRY_FALLBACK"
