"iata","name","city","country","latitude","longitude","source_type","scheduled_service","proposed_demand_index","proposed_airport_tax","review_note"
"HEA","Herat - Khwaja Abdullah Ansari International Airport","Guzara","Afghanistan","34.209999","62.228298","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KBL","Kabul International Airport","Kabul","Afghanistan","34.565899","69.212303","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KDH","Ahmad Shah Baba International Airport","Kandahar","Afghanistan","31.505769","65.847963","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"MZR","Mazar-i-Sharif International Airport","Mazar-i-Sharif","Afghanistan","36.70412","67.210459","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TIA","Tirana International Airport Mother Teresa","Rinas","Albania","41.4147","19.7206","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ALG","Houari Boumediene Airport","Algiers","Algeria","36.693886","3.214531","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"AAE","Annaba Rabah Bitat Airport","Annaba","Algeria","36.826781","7.81334","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BLJ","Batna Mostefa Ben Boulaid Airport","Batna","Algeria","35.752102","6.30859","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BSK","Biskra - Mohamed Khider Airport","Biskra","Algeria","34.79318","5.738899","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"BJA","Soummam–Abane Ramdane Airport","Béjaïa","Algeria","36.712547","5.069909","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CFK","Chlef Aboubakr Belkaid International Airport","Chlef","Algeria","36.216614","1.341114","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
